# main x,main y,main z,head x,head y,head z,tail x,tail y,tail z
0.005,-0.029,1.222,0.000,1.323,1.053,-0.001,-1.555,0.525
0.005,-0.029,1.222,0.000,1.323,1.052,-0.001,-1.555,0.525
0.005,-0.028,1.221,0.001,1.323,1.051,-0.001,-1.554,0.524
0.005,-0.028,1.221,0.001,1.324,1.051,-0.001,-1.554,0.524
0.005,-0.027,1.220,0.001,1.324,1.050,-0.001,-1.554,0.524
0.005,-0.027,1.220,0.001,1.324,1.050,-0.001,-1.554,0.524
0.005,-0.027,1.220,0.002,1.325,1.049,-0.001,-1.553,0.524
0.006,-0.027,1.220,0.002,1.325,1.049,-0.001,-1.553,0.524
0.007,-0.025,1.219,-0.000,1.326,1.048,0.003,-1.552,0.524
0.007,-0.025,1.219,-0.001,1.327,1.048,0.003,-1.552,0.523
0.006,-0.025,1.219,-0.001,1.327,1.048,0.003,-1.552,0.523
0.006,-0.025,1.219,-0.000,1.327,1.048,0.003,-1.552,0.524
0.006,-0.025,1.219,0.000,1.327,1.048,0.003,-1.552,0.524
0.006,-0.025,1.219,0.000,1.327,1.048,0.003,-1.552,0.524
0.006,-0.025,1.219,0.000,1.327,1.047,0.002,-1.552,0.524
0.006,-0.024,1.219,-0.000,1.327,1.047,0.003,-1.551,0.524
0.006,-0.024,1.218,-0.001,1.328,1.047,0.003,-1.551,0.524
0.006,-0.024,1.218,-0.001,1.328,1.046,0.003,-1.551,0.524
0.006,-0.023,1.218,-0.002,1.328,1.046,0.003,-1.551,0.524
0.006,-0.023,1.218,-0.002,1.328,1.046,0.004,-1.550,0.524
0.008,-0.022,1.218,-0.004,1.330,1.045,0.007,-1.549,0.524
0.006,-0.021,1.217,-0.006,1.330,1.045,0.008,-1.549,0.524
0.006,-0.021,1.217,-0.006,1.330,1.045,0.008,-1.549,0.524
0.005,-0.021,1.217,-0.005,1.330,1.044,0.007,-1.549,0.524
0.005,-0.021,1.216,-0.006,1.330,1.043,0.007,-1.549,0.524
0.005,-0.021,1.216,-0.006,1.331,1.042,0.007,-1.549,0.524
0.006,-0.021,1.215,-0.006,1.331,1.042,0.007,-1.548,0.522
0.006,-0.020,1.214,-0.006,1.331,1.041,0.007,-1.548,0.522
0.006,-0.020,1.214,-0.006,1.332,1.040,0.007,-1.548,0.523
0.006,-0.019,1.214,-0.007,1.332,1.039,0.007,-1.548,0.523
0.006,-0.019,1.213,-0.007,1.332,1.038,0.008,-1.548,0.523
0.006,-0.018,1.213,-0.007,1.332,1.038,0.008,-1.548,0.523
0.006,-0.018,1.213,-0.007,1.333,1.037,0.008,-1.548,0.523
0.006,-0.018,1.212,-0.007,1.333,1.036,0.008,-1.547,0.523
0.007,-0.018,1.212,-0.007,1.333,1.036,0.008,-1.547,0.523
0.008,-0.017,1.212,-0.008,1.334,1.035,0.011,-1.547,0.524
0.008,-0.017,1.211,-0.009,1.334,1.034,0.011,-1.547,0.523
0.007,-0.017,1.211,-0.008,1.334,1.033,0.010,-1.547,0.523
0.007,-0.016,1.211,-0.008,1.334,1.033,0.010,-1.547,0.523
0.007,-0.016,1.210,-0.008,1.334,1.033,0.010,-1.547,0.523
0.007,-0.016,1.210,-0.007,1.335,1.032,0.010,-1.546,0.523
0.008,-0.016,1.209,-0.007,1.335,1.031,0.010,-1.546,0.523
0.008,-0.015,1.209,-0.006,1.335,1.030,0.010,-1.546,0.523
0.009,-0.015,1.208,-0.006,1.336,1.029,0.010,-1.546,0.523
0.010,-0.014,1.208,-0.006,1.336,1.028,0.011,-1.546,0.523
0.010,-0.014,1.207,-0.005,1.336,1.027,0.011,-1.546,0.523
0.011,-0.013,1.207,-0.005,1.337,1.026,0.012,-1.545,0.523
0.012,-0.013,1.206,-0.004,1.337,1.025,0.012,-1.545,0.523
0.013,-0.013,1.206,-0.003,1.337,1.024,0.012,-1.545,0.523
0.014,-0.012,1.205,-0.003,1.338,1.023,0.013,-1.545,0.523
0.016,-0.011,1.205,-0.002,1.338,1.022,0.014,-1.544,0.524
0.016,-0.011,1.204,-0.002,1.339,1.021,0.014,-1.544,0.524
0.017,-0.010,1.204,-0.001,1.339,1.020,0.014,-1.544,0.524
0.017,-0.010,1.203,0.001,1.340,1.019,0.014,-1.544,0.523
0.018,-0.009,1.202,0.002,1.340,1.017,0.014,-1.543,0.523
0.019,-0.009,1.202,0.003,1.341,1.016,0.014,-1.543,0.523
0.020,-0.008,1.201,0.004,1.341,1.015,0.014,-1.543,0.523
0.021,-0.007,1.200,0.005,1.342,1.013,0.015,-1.542,0.523
0.022,-0.007,1.199,0.007,1.343,1.012,0.015,-1.542,0.523
0.024,-0.006,1.199,0.008,1.343,1.010,0.016,-1.542,0.523
0.025,-0.005,1.198,0.009,1.344,1.009,0.016,-1.541,0.523
0.026,-0.005,1.197,0.011,1.344,1.008,0.017,-1.541,0.523
0.028,-0.004,1.196,0.012,1.345,1.006,0.017,-1.541,0.523
0.029,-0.003,1.195,0.014,1.346,1.005,0.018,-1.540,0.523
0.031,-0.002,1.194,0.016,1.346,1.003,0.018,-1.540,0.523
0.032,-0.002,1.194,0.018,1.347,1.002,0.019,-1.540,0.523
0.033,-0.001,1.193,0.019,1.347,1.000,0.019,-1.539,0.523
0.036,-0.001,1.192,0.021,1.348,0.999,0.020,-1.539,0.523
0.037,-0.000,1.191,0.023,1.348,0.997,0.021,-1.539,0.523
0.038,0.000,1.191,0.026,1.348,0.996,0.021,-1.539,0.523
0.039,0.001,1.190,0.028,1.349,0.995,0.021,-1.538,0.523
0.041,0.001,1.190,0.031,1.349,0.995,0.021,-1.538,0.523
0.043,0.001,1.189,0.034,1.349,0.994,0.021,-1.538,0.522
0.044,0.002,1.189,0.037,1.350,0.993,0.021,-1.538,0.522
0.046,0.002,1.188,0.040,1.350,0.992,0.021,-1.537,0.522
0.048,0.003,1.188,0.044,1.351,0.992,0.022,-1.537,0.522
0.050,0.003,1.188,0.047,1.351,0.991,0.022,-1.537,0.522
0.052,0.003,1.187,0.050,1.351,0.991,0.022,-1.536,0.522
0.054,0.004,1.187,0.054,1.352,0.990,0.023,-1.536,0.522
0.056,0.004,1.187,0.058,1.352,0.990,0.023,-1.536,0.522
0.058,0.005,1.187,0.062,1.352,0.990,0.023,-1.535,0.522
0.061,0.005,1.186,0.066,1.353,0.989,0.024,-1.535,0.522
0.063,0.005,1.186,0.070,1.353,0.989,0.024,-1.535,0.522
0.065,0.006,1.186,0.074,1.353,0.988,0.024,-1.534,0.522
0.068,0.006,1.186,0.079,1.354,0.988,0.025,-1.534,0.522
0.070,0.006,1.185,0.083,1.354,0.987,0.025,-1.534,0.522
0.073,0.007,1.185,0.088,1.355,0.987,0.026,-1.533,0.521
0.075,0.007,1.185,0.093,1.355,0.986,0.026,-1.533,0.521
0.078,0.008,1.184,0.097,1.355,0.985,0.026,-1.532,0.521
0.081,0.008,1.184,0.102,1.356,0.985,0.027,-1.532,0.521
0.083,0.009,1.183,0.107,1.356,0.984,0.027,-1.532,0.521
0.086,0.009,1.183,0.112,1.356,0.983,0.027,-1.531,0.521
0.089,0.010,1.183,0.118,1.357,0.983,0.028,-1.531,0.521
0.092,0.010,1.182,0.123,1.357,0.982,0.028,-1.530,0.521
0.095,0.011,1.182,0.128,1.358,0.981,0.029,-1.530,0.520
0.098,0.011,1.181,0.134,1.358,0.980,0.029,-1.529,0.520
0.101,0.012,1.180,0.139,1.359,0.979,0.029,-1.529,0.520
0.104,0.012,1.180,0.145,1.359,0.978,0.030,-1.528,0.520
0.107,0.013,1.179,0.150,1.359,0.977,0.030,-1.528,0.520
0.110,0.013,1.179,0.156,1.360,0.976,0.031,-1.527,0.520
0.113,0.014,1.178,0.162,1.360,0.975,0.031,-1.527,0.519
0.116,0.015,1.177,0.168,1.361,0.974,0.032,-1.526,0.519
0.119,0.015,1.177,0.174,1.361,0.973,0.032,-1.526,0.519
0.122,0.016,1.176,0.180,1.361,0.972,0.032,-1.525,0.519
0.126,0.016,1.175,0.186,1.362,0.971,0.033,-1.525,0.519
0.129,0.017,1.174,0.192,1.362,0.970,0.033,-1.524,0.518
0.132,0.018,1.174,0.198,1.363,0.968,0.034,-1.523,0.518
0.135,0.018,1.173,0.204,1.363,0.967,0.034,-1.523,0.518
0.139,0.019,1.172,0.211,1.364,0.965,0.035,-1.522,0.518
0.142,0.020,1.171,0.217,1.364,0.964,0.035,-1.522,0.517
0.145,0.021,1.170,0.223,1.365,0.962,0.035,-1.521,0.517
0.149,0.021,1.169,0.230,1.365,0.961,0.036,-1.520,0.517
0.152,0.022,1.168,0.236,1.365,0.959,0.036,-1.520,0.517
0.156,0.023,1.167,0.243,1.366,0.958,0.037,-1.519,0.516
0.160,0.024,1.166,0.249,1.367,0.956,0.038,-1.518,0.516
0.163,0.025,1.165,0.256,1.367,0.954,0.038,-1.517,0.516
0.166,0.025,1.164,0.263,1.368,0.952,0.038,-1.516,0.515
0.169,0.026,1.163,0.270,1.368,0.951,0.038,-1.516,0.515
0.173,0.027,1.162,0.277,1.369,0.949,0.039,-1.515,0.515
0.177,0.028,1.160,0.284,1.369,0.947,0.039,-1.514,0.514
0.180,0.029,1.159,0.291,1.370,0.945,0.039,-1.513,0.514
0.184,0.030,1.158,0.298,1.370,0.943,0.040,-1.512,0.513
0.187,0.031,1.157,0.306,1.370,0.940,0.040,-1.512,0.513
0.191,0.031,1.155,0.313,1.371,0.938,0.041,-1.511,0.513
0.195,0.032,1.154,0.320,1.371,0.935,0.041,-1.510,0.512
0.199,0.033,1.152,0.328,1.371,0.933,0.042,-1.510,0.512
0.203,0.033,1.150,0.335,1.371,0.930,0.042,-1.510,0.512
0.207,0.034,1.149,0.342,1.371,0.927,0.043,-1.509,0.512
0.211,0.035,1.147,0.349,1.372,0.924,0.043,-1.509,0.511
0.215,0.035,1.145,0.356,1.372,0.922,0.044,-1.508,0.511
0.218,0.036,1.144,0.363,1.372,0.919,0.044,-1.508,0.511
0.222,0.037,1.142,0.370,1.372,0.916,0.045,-1.507,0.510
0.225,0.037,1.140,0.376,1.372,0.913,0.046,-1.507,0.510
0.229,0.038,1.139,0.382,1.372,0.910,0.046,-1.506,0.510
0.232,0.039,1.137,0.388,1.372,0.907,0.047,-1.506,0.509
0.235,0.039,1.136,0.394,1.372,0.905,0.047,-1.505,0.509
0.239,0.040,1.134,0.400,1.373,0.902,0.048,-1.505,0.509
0.242,0.041,1.133,0.405,1.373,0.899,0.048,-1.505,0.509
0.245,0.041,1.131,0.410,1.373,0.897,0.049,-1.504,0.508
0.247,0.042,1.130,0.415,1.373,0.895,0.049,-1.504,0.508
0.249,0.042,1.128,0.420,1.373,0.892,0.050,-1.503,0.508
0.252,0.043,1.127,0.425,1.373,0.889,0.050,-1.503,0.507
0.254,0.044,1.125,0.429,1.374,0.887,0.050,-1.503,0.507
0.256,0.044,1.124,0.433,1.374,0.885,0.050,-1.502,0.507
0.258,0.045,1.123,0.437,1.374,0.882,0.051,-1.502,0.507
0.261,0.045,1.122,0.441,1.374,0.881,0.051,-1.501,0.507
0.263,0.046,1.121,0.444,1.374,0.879,0.052,-1.501,0.506
0.266,0.046,1.120,0.448,1.374,0.878,0.053,-1.501,0.506
0.268,0.046,1.119,0.451,1.374,0.877,0.053,-1.501,0.506
0.271,0.046,1.119,0.454,1.374,0.876,0.054,-1.500,0.506
0.272,0.046,1.118,0.457,1.374,0.875,0.055,-1.500,0.506
0.274,0.046,1.118,0.460,1.374,0.875,0.055,-1.500,0.506
0.276,0.046,1.118,0.463,1.373,0.874,0.055,-1.500,0.506
0.277,0.046,1.118,0.466,1.373,0.874,0.055,-1.500,0.506
0.280,0.046,1.117,0.469,1.373,0.873,0.056,-1.500,0.506
0.281,0.046,1.117,0.472,1.373,0.872,0.057,-1.500,0.506
0.283,0.046,1.116,0.474,1.373,0.872,0.057,-1.500,0.506
0.284,0.046,1.116,0.476,1.372,0.871,0.058,-1.500,0.506
0.285,0.046,1.116,0.478,1.372,0.871,0.058,-1.500,0.506
0.286,0.046,1.116,0.480,1.372,0.872,0.058,-1.500,0.506
0.286,0.046,1.117,0.481,1.372,0.872,0.058,-1.500,0.506
0.286,0.046,1.117,0.483,1.372,0.873,0.058,-1.500,0.506
0.287,0.046,1.117,0.484,1.371,0.874,0.058,-1.500,0.506
0.287,0.045,1.118,0.485,1.371,0.874,0.057,-1.500,0.506
0.287,0.045,1.118,0.486,1.371,0.875,0.057,-1.500,0.506
0.287,0.045,1.118,0.487,1.370,0.876,0.057,-1.500,0.506
0.288,0.045,1.119,0.488,1.370,0.876,0.057,-1.500,0.506
0.288,0.045,1.119,0.488,1.370,0.877,0.057,-1.500,0.506
0.288,0.044,1.119,0.489,1.370,0.877,0.057,-1.500,0.506
0.288,0.044,1.119,0.489,1.370,0.877,0.057,-1.500,0.506
0.289,0.044,1.120,0.490,1.369,0.877,0.057,-1.500,0.506
0.289,0.044,1.120,0.490,1.369,0.877,0.057,-1.500,0.506
0.289,0.044,1.120,0.490,1.369,0.877,0.057,-1.500,0.506
0.289,0.044,1.120,0.491,1.369,0.877,0.057,-1.500,0.506
0.289,0.044,1.119,0.491,1.369,0.877,0.058,-1.500,0.506
0.290,0.044,1.119,0.491,1.370,0.877,0.058,-1.500,0.506
0.290,0.044,1.119,0.491,1.370,0.876,0.058,-1.500,0.506
0.290,0.045,1.119,0.491,1.370,0.876,0.058,-1.500,0.506
0.290,0.045,1.119,0.491,1.370,0.876,0.058,-1.500,0.506
0.290,0.045,1.118,0.491,1.370,0.875,0.058,-1.500,0.506
0.290,0.045,1.118,0.491,1.370,0.875,0.058,-1.500,0.506
0.289,0.045,1.118,0.490,1.370,0.874,0.058,-1.499,0.506
0.289,0.046,1.117,0.490,1.371,0.874,0.058,-1.499,0.506
0.289,0.046,1.117,0.490,1.371,0.873,0.058,-1.499,0.506
0.289,0.046,1.117,0.489,1.371,0.873,0.058,-1.499,0.506
0.289,0.046,1.117,0.489,1.371,0.872,0.058,-1.499,0.506
0.289,0.046,1.116,0.489,1.372,0.872,0.058,-1.499,0.506
0.289,0.047,1.116,0.488,1.372,0.871,0.058,-1.499,0.505
0.288,0.047,1.116,0.488,1.372,0.871,0.058,-1.499,0.505
0.288,0.047,1.115,0.487,1.372,0.870,0.058,-1.499,0.505
0.288,0.047,1.115,0.487,1.373,0.870,0.058,-1.498,0.505
0.288,0.048,1.115,0.486,1.373,0.869,0.058,-1.498,0.505
0.287,0.048,1.115,0.486,1.373,0.869,0.058,-1.498,0.505
0.287,0.048,1.114,0.485,1.373,0.869,0.058,-1.498,0.505
0.287,0.048,1.114,0.484,1.373,0.868,0.058,-1.498,0.505
0.287,0.049,1.114,0.484,1.374,0.868,0.058,-1.498,0.505
0.286,0.049,1.114,0.483,1.374,0.867,0.058,-1.498,0.505
0.286,0.049,1.114,0.482,1.374,0.867,0.058,-1.498,0.505
0.286,0.049,1.113,0.481,1.374,0.867,0.058,-1.498,0.505
0.285,0.049,1.113,0.481,1.375,0.866,0.058,-1.498,0.505
0.285,0.049,1.113,0.480,1.375,0.866,0.058,-1.497,0.505
0.285,0.050,1.113,0.479,1.375,0.866,0.058,-1.497,0.505
0.284,0.050,1.113,0.478,1.375,0.865,0.058,-1.497,0.505
0.284,0.050,1.112,0.477,1.376,0.865,0.058,-1.497,0.505
0.284,0.050,1.112,0.477,1.376,0.865,0.058,-1.497,0.505
0.283,0.051,1.112,0.476,1.376,0.864,0.058,-1.497,0.505
0.283,0.051,1.112,0.475,1.376,0.864,0.058,-1.497,0.505
0.283,0.051,1.112,0.474,1.377,0.864,0.058,-1.497,0.505
0.282,0.051,1.111,0.473,1.377,0.863,0.058,-1.497,0.505
0.282,0.051,1.111,0.472,1.377,0.863,0.058,-1.497,0.505
0.282,0.052,1.111,0.471,1.378,0.863,0.058,-1.497,0.505
0.281,0.052,1.111,0.470,1.378,0.862,0.058,-1.496,0.505
0.281,0.052,1.110,0.469,1.378,0.862,0.058,-1.496,0.504
0.280,0.052,1.110,0.468,1.378,0.862,0.058,-1.496,0.504
0.280,0.053,1.110,0.467,1.379,0.861,0.058,-1.496,0.504
0.279,0.053,1.110,0.466,1.379,0.861,0.058,-1.496,0.504
0.279,0.053,1.109,0.465,1.379,0.860,0.058,-1.496,0.504
0.279,0.053,1.109,0.464,1.380,0.860,0.058,-1.496,0.504
0.278,0.054,1.109,0.463,1.380,0.859,0.058,-1.496,0.504
0.278,0.054,1.109,0.461,1.381,0.859,0.059,-1.495,0.504
0.278,0.054,1.108,0.460,1.381,0.858,0.059,-1.495,0.504
0.277,0.055,1.108,0.459,1.381,0.858,0.058,-1.495,0.504
0.276,0.055,1.108,0.458,1.381,0.858,0.058,-1.495,0.504
0.275,0.055,1.108,0.457,1.382,0.857,0.058,-1.495,0.504
0.275,0.055,1.108,0.456,1.382,0.857,0.058,-1.495,0.504
0.274,0.056,1.107,0.454,1.382,0.856,0.058,-1.495,0.504
0.274,0.056,1.107,0.453,1.383,0.856,0.058,-1.495,0.504
0.273,0.056,1.107,0.452,1.383,0.855,0.058,-1.495,0.504
0.273,0.056,1.106,0.451,1.383,0.855,0.058,-1.494,0.504
0.272,0.057,1.106,0.450,1.384,0.854,0.058,-1.494,0.504
0.272,0.057,1.106,0.448,1.384,0.854,0.058,-1.494,0.504
0.272,0.057,1.105,0.447,1.384,0.853,0.058,-1.494,0.504
0.271,0.058,1.105,0.446,1.385,0.853,0.058,-1.494,0.503
0.271,0.058,1.105,0.444,1.385,0.852,0.058,-1.494,0.503
0.270,0.058,1.105,0.443,1.386,0.852,0.058,-1.494,0.503
0.270,0.058,1.104,0.442,1.386,0.851,0.058,-1.494,0.503
0.269,0.059,1.104,0.441,1.386,0.851,0.058,-1.493,0.503
0.268,0.059,1.104,0.439,1.387,0.850,0.058,-1.493,0.503
0.268,0.059,1.103,0.438,1.387,0.850,0.058,-1.493,0.503
0.267,0.060,1.103,0.437,1.387,0.849,0.058,-1.493,0.503
0.267,0.060,1.103,0.435,1.388,0.849,0.058,-1.493,0.503
0.266,0.060,1.102,0.434,1.388,0.848,0.058,-1.493,0.503
0.265,0.060,1.102,0.433,1.388,0.847,0.058,-1.493,0.503
0.265,0.061,1.102,0.432,1.388,0.847,0.058,-1.493,0.503
0.264,0.061,1.101,0.431,1.389,0.846,0.058,-1.493,0.503
0.264,0.061,1.101,0.430,1.389,0.846,0.057,-1.492,0.503
0.263,0.062,1.100,0.429,1.389,0.845,0.057,-1.492,0.503
0.263,0.062,1.100,0.429,1.390,0.844,0.057,-1.492,0.502
0.262,0.062,1.100,0.428,1.390,0.844,0.057,-1.492,0.502
0.262,0.062,1.099,0.427,1.390,0.843,0.057,-1.492,0.502
0.262,0.063,1.099,0.427,1.390,0.842,0.057,-1.492,0.502
0.261,0.063,1.099,0.426,1.390,0.842,0.057,-1.492,0.502
0.261,0.063,1.098,0.425,1.391,0.841,0.057,-1.492,0.502
0.261,0.063,1.098,0.425,1.391,0.841,0.057,-1.492,0.502
0.261,0.064,1.098,0.425,1.391,0.840,0.057,-1.492,0.502
0.261,0.064,1.097,0.424,1.391,0.840,0.057,-1.491,0.502
0.261,0.064,1.097,0.424,1.392,0.839,0.057,-1.491,0.502
0.261,0.064,1.097,0.424,1.392,0.839,0.057,-1.491,0.502
0.260,0.064,1.097,0.423,1.392,0.838,0.057,-1.491,0.502
0.260,0.065,1.096,0.423,1.392,0.838,0.057,-1.491,0.502
0.260,0.065,1.096,0.423,1.392,0.837,0.057,-1.491,0.502
0.261,0.065,1.096,0.422,1.393,0.837,0.058,-1.491,0.502
0.260,0.065,1.096,0.422,1.393,0.836,0.057,-1.491,0.502
0.260,0.066,1.095,0.422,1.393,0.836,0.057,-1.490,0.502
0.260,0.066,1.095,0.422,1.393,0.836,0.057,-1.490,0.502
0.259,0.066,1.095,0.422,1.393,0.836,0.057,-1.490,0.502
0.259,0.066,1.095,0.422,1.393,0.835,0.057,-1.490,0.502
0.259,0.066,1.095,0.422,1.394,0.835,0.057,-1.490,0.502
0.260,0.066,1.094,0.422,1.394,0.834,0.057,-1.490,0.502
0.260,0.067,1.094,0.422,1.394,0.834,0.057,-1.490,0.502
0.260,0.067,1.094,0.421,1.394,0.833,0.057,-1.490,0.502
0.260,0.067,1.093,0.422,1.394,0.833,0.057,-1.490,0.502
0.260,0.067,1.093,0.421,1.394,0.832,0.057,-1.490,0.502
0.260,0.067,1.093,0.422,1.395,0.832,0.057,-1.489,0.502
0.260,0.068,1.093,0.422,1.395,0.831,0.057,-1.489,0.501
0.260,0.068,1.092,0.422,1.395,0.831,0.057,-1.489,0.501
0.260,0.068,1.092,0.422,1.395,0.830,0.057,-1.489,0.501
0.260,0.068,1.092,0.422,1.395,0.830,0.057,-1.489,0.501
0.260,0.068,1.091,0.422,1.395,0.829,0.057,-1.489,0.501
0.260,0.069,1.091,0.422,1.396,0.829,0.057,-1.489,0.501
0.261,0.069,1.091,0.422,1.396,0.828,0.057,-1.488,0.501
0.261,0.069,1.090,0.422,1.396,0.828,0.057,-1.488,0.501
0.261,0.069,1.090,0.422,1.396,0.827,0.057,-1.488,0.501
0.261,0.070,1.090,0.422,1.396,0.827,0.057,-1.488,0.501
0.261,0.070,1.089,0.423,1.396,0.826,0.057,-1.488,0.501
0.261,0.070,1.089,0.423,1.397,0.826,0.057,-1.488,0.501
0.261,0.070,1.089,0.423,1.397,0.825,0.057,-1.488,0.501
0.261,0.070,1.088,0.423,1.397,0.824,0.057,-1.488,0.501
0.261,0.071,1.088,0.423,1.397,0.824,0.057,-1.487,0.501
0.261,0.071,1.088,0.424,1.397,0.823,0.057,-1.487,0.501
0.261,0.071,1.087,0.424,1.397,0.823,0.057,-1.487,0.501
0.262,0.071,1.087,0.424,1.398,0.822,0.057,-1.487,0.500
0.262,0.072,1.087,0.424,1.398,0.822,0.057,-1.487,0.500
0.262,0.072,1.086,0.425,1.398,0.821,0.057,-1.487,0.500
0.262,0.072,1.086,0.425,1.398,0.820,0.057,-1.487,0.500
0.262,0.072,1.086,0.425,1.398,0.820,0.057,-1.486,0.500
0.262,0.072,1.085,0.425,1.398,0.819,0.057,-1.486,0.500
0.262,0.073,1.085,0.426,1.399,0.819,0.057,-1.486,0.500
0.263,0.073,1.085,0.426,1.399,0.818,0.057,-1.486,0.500
0.263,0.073,1.084,0.426,1.399,0.817,0.058,-1.486,0.500
0.263,0.073,1.084,0.426,1.399,0.817,0.058,-1.486,0.500
0.263,0.073,1.084,0.426,1.399,0.816,0.057,-1.486,0.500
0.263,0.074,1.083,0.426,1.399,0.816,0.057,-1.486,0.500
0.263,0.074,1.083,0.427,1.399,0.815,0.057,-1.486,0.500
0.263,0.074,1.083,0.427,1.399,0.815,0.057,-1.485,0.500
0.263,0.074,1.082,0.427,1.400,0.814,0.057,-1.485,0.499
0.263,0.074,1.082,0.428,1.400,0.814,0.057,-1.485,0.499
0.264,0.075,1.082,0.428,1.400,0.813,0.057,-1.485,0.499
0.264,0.075,1.081,0.428,1.400,0.812,0.057,-1.485,0.499
0.264,0.075,1.081,0.429,1.400,0.812,0.057,-1.485,0.499
0.264,0.075,1.081,0.429,1.400,0.811,0.057,-1.485,0.499
0.265,0.075,1.080,0.429,1.401,0.811,0.057,-1.485,0.499
0.265,0.076,1.080,0.430,1.401,0.810,0.057,-1.484,0.499
0.265,0.076,1.080,0.430,1.401,0.809,0.057,-1.484,0.499
0.265,0.076,1.079,0.430,1.401,0.809,0.057,-1.484,0.499
0.265,0.076,1.079,0.431,1.401,0.808,0.057,-1.484,0.499
0.265,0.077,1.078,0.431,1.401,0.808,0.057,-1.484,0.499
0.266,0.077,1.078,0.431,1.402,0.807,0.057,-1.484,0.499
0.266,0.077,1.078,0.432,1.402,0.806,0.057,-1.483,0.499
0.266,0.077,1.077,0.432,1.402,0.806,0.057,-1.483,0.498
0.266,0.078,1.077,0.432,1.402,0.805,0.057,-1.483,0.498
0.266,0.078,1.076,0.432,1.402,0.804,0.057,-1.483,0.498
0.266,0.078,1.076,0.433,1.403,0.804,0.057,-1.483,0.498
0.267,0.078,1.076,0.433,1.403,0.803,0.057,-1.483,0.498
0.267,0.079,1.075,0.433,1.403,0.802,0.057,-1.483,0.498
0.267,0.079,1.075,0.434,1.403,0.801,0.057,-1.482,0.498
0.267,0.079,1.074,0.434,1.403,0.801,0.057,-1.482,0.498
0.267,0.080,1.074,0.434,1.403,0.800,0.057,-1.482,0.498
0.267,0.080,1.074,0.434,1.404,0.799,0.057,-1.482,0.498
0.268,0.080,1.073,0.435,1.404,0.799,0.057,-1.482,0.498
0.268,0.080,1.073,0.435,1.404,0.798,0.057,-1.482,0.498
0.268,0.081,1.072,0.435,1.404,0.797,0.057,-1.481,0.498
