# main x,main y,main z,head x,head y,head z,tail x,tail y,tail z
0.000,-0.021,1.219,-0.009,1.331,1.047,0.001,-1.548,0.524
0.001,-0.021,1.218,-0.009,1.331,1.047,0.001,-1.548,0.524
0.001,-0.020,1.218,-0.009,1.331,1.047,0.001,-1.548,0.524
0.001,-0.020,1.218,-0.009,1.331,1.047,0.001,-1.548,0.524
0.001,-0.020,1.218,-0.009,1.331,1.046,0.001,-1.547,0.524
0.001,-0.020,1.218,-0.009,1.331,1.046,0.001,-1.547,0.524
0.002,-0.019,1.218,-0.010,1.332,1.046,0.002,-1.547,0.524
0.001,-0.019,1.218,-0.010,1.332,1.046,0.002,-1.547,0.524
0.001,-0.019,1.218,-0.010,1.332,1.046,0.001,-1.547,0.524
0.000,-0.019,1.218,-0.010,1.332,1.046,0.001,-1.547,0.524
-0.000,-0.019,1.218,-0.009,1.332,1.046,0.000,-1.546,0.524
-0.001,-0.019,1.218,-0.009,1.332,1.046,-0.000,-1.546,0.524
-0.001,-0.019,1.218,-0.009,1.332,1.045,-0.000,-1.546,0.524
-0.001,-0.019,1.217,-0.009,1.333,1.045,-0.000,-1.546,0.524
-0.000,-0.019,1.217,-0.008,1.333,1.045,-0.000,-1.546,0.524
-0.000,-0.018,1.217,-0.008,1.333,1.045,-0.000,-1.546,0.524
0.000,-0.018,1.217,-0.008,1.333,1.044,-0.000,-1.546,0.524
0.000,-0.018,1.217,-0.008,1.333,1.044,0.000,-1.546,0.524
0.001,-0.018,1.217,-0.008,1.333,1.044,0.000,-1.546,0.524
0.001,-0.018,1.217,-0.008,1.333,1.044,0.000,-1.546,0.524
0.001,-0.018,1.217,-0.007,1.333,1.044,0.001,-1.546,0.524
0.001,-0.018,1.216,-0.007,1.333,1.043,0.001,-1.546,0.524
0.002,-0.017,1.216,-0.007,1.334,1.043,0.002,-1.545,0.524
0.002,-0.017,1.216,-0.007,1.334,1.043,0.001,-1.545,0.524
0.002,-0.017,1.216,-0.007,1.334,1.043,0.001,-1.545,0.524
0.002,-0.017,1.216,-0.006,1.334,1.043,0.001,-1.545,0.524
0.002,-0.017,1.216,-0.006,1.334,1.043,0.001,-1.545,0.524
0.002,-0.017,1.216,-0.006,1.334,1.042,0.000,-1.545,0.524
0.002,-0.017,1.215,-0.005,1.334,1.042,0.000,-1.545,0.523
0.002,-0.017,1.215,-0.005,1.334,1.042,0.000,-1.545,0.523
0.002,-0.017,1.215,-0.004,1.334,1.042,0.000,-1.545,0.523
0.002,-0.016,1.215,-0.004,1.335,1.041,0.000,-1.545,0.523
0.003,-0.016,1.215,-0.004,1.335,1.041,0.001,-1.544,0.523
0.003,-0.016,1.215,-0.003,1.335,1.041,0.001,-1.544,0.523
