0,-0.24999994,0,-0.24999994,0,-0.24999994,0,-0.24999994,0,-0.24999994,0,-0.24999994
-23437e-8,-0.05696529,-6187e-8,-0.05696529,-17923e-8,-0.05696529,0,-0.06585914,-1222e-8,-0.07370746,2867e-7,-0.07639807
0.09974611,-0.27182478,-0.09806472,0.15789294,-0.09156251,0.15787876,0.10054052,-0.27955186,0.10051429,-0.28538793,-0.09991455,0.09286475
0.21207392,-0.48668623,-0.20754421,0.37274742,-0.19998562,0.37273943,0.21344554,-0.49313575,0.21339035,-0.49771333,-0.21248579,0.27018595
0.32803941,-0.70154804,-0.32293195,0.58762169,-0.31851542,0.58767581,0.32902253,-0.70680779,0.32898343,-0.71044278,-0.32799995,0.46028686
0.44341779,-0.84709793,-0.43879741,0.79604578,-0.43613583,0.79608774,0.44380248,-0.84787416,0.44379389,-0.84790939,-0.44277436,0.65405583
0.55466497,-0.81516111,-0.55163658,0.80754256,-0.54739201,0.80753946,0.55468357,-0.81464833,0.55468845,-0.81365865,-0.55400032,0.77759397
0.65835392,-0.74237704,-0.65678835,0.74124038,-0.65400922,0.74124169,0.65792418,-0.74166262,0.65796983,-0.74020034,-0.65776801,0.73650801
0.7508359,-0.65370941,-0.74971992,0.65354002,-0.74845004,0.65354347,0.75017178,-0.65307724,0.75022912,-0.65142477,-0.75013494,0.65045309
0.82982838,-0.55410892,-0.83093095,0.55408764,-0.82966375,0.55408835,0.8290267,-0.55320483,0.82908726,-0.55188704,-0.82906151,0.55424285
0.89384401,-0.44567716,-0.89559811,0.44567311,-0.89560318,0.44567549,0.89310503,-0.4446888,0.89315379,-0.44354481,-0.8931725,0.44757223
0.94279349,-0.33020365,-0.94440657,0.33020484,-0.94536698,0.33020496,0.9420948,-0.32911885,0.94213235,-0.32796055,-0.94217902,0.33215058
0.97661436,-0.20952058,-0.97815901,0.2095207,-0.97970802,0.20952177,0.97607732,-0.20844352,0.97611737,-0.20750737,-0.97609055,0.21038818
0.99502957,-0.08557773,-0.99626333,0.08557761,-0.99734414,0.0855782,0.99464488,-0.08450788,0.99467385,-0.08340991,-0.99464542,0.08547711
